"catalog_key","category","phase","phase_description","summary","trigger","explanation","investigation","score_points","default_points","points_config_key","notes"
"EXCESSIVE_DOTS","Email & identity","per_account","Applied to each row during lead/email analysis.","More than 3 dots in the email local part.","More than 3 period characters in the email local part (before @).","Fraud farms often insert extra dots in Gmail-style addresses to create many unique-looking emails from one inbox or to evade naive duplicate checks. Legitimate users rarely use more than three dots in a username.","Compare with affiliate source and other email pattern flags. Multiple structure flags on one account increases confidence of templated signup.","20 pts — Always when rule matches [excessive_dots]","20","excessive_dots",""
"DIGIT_SUFFIX","Email & identity","per_account","Applied to each row during lead/email analysis.","Email local part ends with 4–5 consecutive digits.","Local part ends with exactly 4 or 5 consecutive digits.","Bulk-generated accounts frequently append numeric suffixes to reuse a name stem across thousands of registrations.","Look for SEQUENTIAL_EMAIL or NAME_NUMBER_PATTERN on the same affiliate; check IP velocity and shared IP.","15 pts — Always when rule matches [digit_suffix]","15","digit_suffix",""
"SCRAMBLED_PATTERN","Email & identity","per_account","Applied to each row during lead/email analysis.","Email appears randomly generated (low vowel ratio, odd consonant runs).","Heuristic detects low vowel ratio and random-looking consonant clusters in the local part.","Automatically generated strings often lack natural language letter patterns. This catches machine-created inboxes that are not obviously name-based.","High value combined with fast email validation or POV timing. Review profile images via CONTENT_REVIEW when present.","35 pts — Always when rule matches [scrambled_pattern]","35","scrambled_pattern",""
"NAME_NUMBER_PATTERN","Email & identity","per_account","Applied to each row during lead/email analysis.","Templated name+number local part (e.g. firstname12lastname4567@domain).","Local part matches firstname+number+lastname+number style templates.","One of the highest-yield automated rules: fraud operations use predictable name-and-number email templates across campaigns.","Prioritize for manual review; often appears in clusters from the same affiliate. Pair with sequential email detection.","40 pts — Always when rule matches [name_number_pattern]","40","name_number_pattern",""
"WRITTEN_NUMBER_PATTERN","Email & identity","per_account","Applied to each row during lead/email analysis.","Written numbers in the email local part (one, two, three, etc.).","Local part contains English written numbers (e.g. one, two, three).","Some generators embed spelled-out numbers to vary addresses while keeping a scriptable pattern.","Usually secondary signal; escalate when combined with other email flags.","15 pts — Always when rule matches [written_number_pattern]","15","written_number_pattern",""
"REPEATED_WORD_PATTERN","Email & identity","per_account","Applied to each row during lead/email analysis.","Word in local part appears in many emails in the current analysis batch.","A word from the local part appears in more than 3 emails in the current analysis batch (config: repeated_word_threshold).","Batch-level frequency detection finds shared tokens across many signups in the same run—common when a script reuses vocabulary.","Inspect the repeated word in details; drill into affiliate and time window for the batch.","25 pts — Word frequency > threshold in batch [repeated_word_pattern]","25","repeated_word_pattern",""
"SUSPICIOUS_NAME","Email & identity","per_account","Applied to each row during lead/email analysis.","Local part matches configured fraud-associated names list.","Local part contains a name from the configured suspicious_names list (default includes fatima, muhammed).","Names that recur disproportionately in confirmed fraud are flagged for review. List is editable in config.","Validate against recent confirmed fraud outcomes; propose list updates monthly.","30 pts — Always when rule matches [suspicious_name]","30","suspicious_name",""
"GENDER_NAME_MISMATCH","Email & identity","per_account","Applied to each row during lead/email analysis.","Predicted gender from email/name does not match declared gender (user1).","Gender inferred from email/name (gender-guesser) conflicts with declared gender (user1/custom_u1), high-confidence only.","Declares one gender but uses an email local part strongly associated with another—common in misrepresented or scripted profiles.","Androgynous or unknown names are skipped. Confirm declared gender and billing name on paid accounts.","35 pts — High-confidence mismatch [gender_name_mismatch]","35","gender_name_mismatch",""
"BILLING_GENDER_MISMATCH","Email & identity","per_account","Applied to each row during lead/email analysis.","Paid records only: billing first name gender ≠ declared gender (high-confidence mismatches only).","Paid records: billing first name gender ≠ declared gender (high-confidence only).","Payment name inconsistent with profile gender is a strong paid-fraud indicator—often chargeback or stolen-card scenarios.","Cross-check shared_card flags and card type. Confirm with processor billing data.","35 pts — Paid data with high-confidence mismatch [billing_gender_mismatch]","35","billing_gender_mismatch",""
"theme_cluster","Email & identity","per_account","Applied to each row during lead/email analysis.","Email matches a theme bucket: REAL_ESTATE, CONSTRUCTION, CRYPTO, or FINANCE.","Local part contains keywords for real estate, construction, crypto, or finance themes.","Theme clustering groups niche keyword spam that appears in coordinated fraud waves (investment/crypto scams, etc.). Stored flag: THEME_CLUSTER_<THEME>.","Review campaign and affiliate; themes often spike together in time.","15 pts — Per matching theme [theme_cluster]","15","theme_cluster","Stored as: THEME_CLUSTER_*"
